code,description
S31110A,Laceration without foreign body of abdominal wall right upper quadrant without penetration into peritoneal cavity initial encounter
S31130A,Puncture wound of abdominal wall without foreign body right upper quadrant without penetration into peritoneal cavity initial encounter
S31150A,Open bite of abdominal wall right upper quadrant without penetration into peritoneal cavity initial encounter
S3120XA,Unspecified open wound of penis initial encounter
S3121XA,Laceration without foreign body of penis initial encounter
S3123XA,Puncture wound without foreign body of penis initial encounter
S3125XA,Open bite of penis initial encounter
S3130XA,Unspecified open wound of scrotum and testes initial encounter
S3131XA,Laceration without foreign body of scrotum and testes initial encounter
S3133XA,Puncture wound without foreign body of scrotum and testes initial encounter
S3135XA,Open bite of scrotum and testes initial encounter
S3140XA,Unspecified open wound of vagina and vulva initial encounter
S3141XA,Laceration without foreign body of vagina and vulva initial encounter
S3143XA,Puncture wound without foreign body of vagina and vulva initial encounter
S3145XA,Open bite of vagina and vulva initial encounter
S31501A,Unspecified open wound of unspecified external genital organs male initial encounter
S31511A,Laceration without foreign body of unspecified external genital organs male initial encounter
S31531A,Puncture wound without foreign body of unspecified external genital organs male initial encounter
S31551A,Open bite of unspecified external genital organs male initial encounter
S31600A,Unspecified open wound of abdominal wall right upper quadrant with penetration into peritoneal cavity initial encounter
S31610A,Laceration without foreign body of abdominal wall right upper quadrant with penetration into peritoneal cavity initial encounter
S31630A,Puncture wound without foreign body of abdominal wall right upper quadrant with penetration into peritoneal cavity initial encounter
S31650A,Open bite of abdominal wall right upper quadrant with penetration into peritoneal cavity initial encounter
S31801A,Laceration without foreign body of unspecified buttock initial encounter
S31811A,Laceration without foreign body of right buttock initial encounter
S31821A,Laceration without foreign body of left buttock initial encounter
S31831A,Laceration without foreign body of anus initial encounter
S32000A,Wedge compression fracture of unspecified lumbar vertebra initial encounter for closed fracture
S32010A,Wedge compression fracture of first lumbar vertebra initial encounter for closed fracture
S32020A,Wedge compression fracture of second lumbar vertebra initial encounter for closed fracture
S32030A,Wedge compression fracture of third lumbar vertebra initial encounter for closed fracture
S32040A,Wedge compression fracture of fourth lumbar vertebra initial encounter for closed fracture
S32050A,Wedge compression fracture of fifth lumbar vertebra initial encounter for closed fracture
S32110A,Nondisplaced Zone I fracture of sacrum initial encounter for closed fracture
S32120A,Nondisplaced Zone II fracture of sacrum initial encounter for closed fracture
S32130A,Nondisplaced Zone III fracture of sacrum initial encounter for closed fracture
S3214XA,Type 1 fracture of sacrum initial encounter for closed fracture
S3215XA,Type 2 fracture of sacrum initial encounter for closed fracture
S3216XA,Type 3 fracture of sacrum initial encounter for closed fracture
S3217XA,Type 4 fracture of sacrum initial encounter for closed fracture
S3219XA,Other fracture of sacrum initial encounter for closed fracture
S322XXA,Fracture of coccyx initial encounter for closed fracture
S32301A,Unspecified fracture of right ilium initial encounter for closed fracture
S32311A,Displaced avulsion fracture of right ilium initial encounter for closed fracture
S32391A,Other fracture of right ilium initial encounter for closed fracture
S32401A,Unspecified fracture of right acetabulum initial encounter for closed fracture
S32411A,Displaced fracture of anterior wall of right acetabulum initial encounter for closed fracture
S32421A,Displaced fracture of posterior wall of right acetabulum initial encounter for closed fracture
S32431A,Displaced fracture of anterior column [iliopubic] of right acetabulum initial encounter for closed fracture
S32441A,Displaced fracture of posterior column [ilioischial] of right acetabulum initial encounter for closed fracture
S32451A,Displaced transverse fracture of right acetabulum initial encounter for closed fracture
S32461A,Displaced associated transverse-posterior fracture of right acetabulum initial encounter for closed fracture
S32471A,Displaced fracture of medial wall of right acetabulum initial encounter for closed fracture
S32481A,Displaced dome fracture of right acetabulum initial encounter for closed fracture
S32491A,Other specified fracture of right acetabulum initial encounter for closed fracture
S32501A,Unspecified fracture of right pubis initial encounter for closed fracture
S32511A,Fracture of superior rim of right pubis initial encounter for closed fracture
S32591A,Other specified fracture of right pubis initial encounter for closed fracture
S32601A,Unspecified fracture of right ischium initial encounter for closed fracture
S32611A,Displaced avulsion fracture of right ischium initial encounter for closed fracture
S32691A,Other specified fracture of right ischium initial encounter for closed fracture
S32810A,Multiple fractures of pelvis with stable disruption of pelvic ring initial encounter for closed fracture
S3289XA,Fracture of other parts of pelvis initial encounter for closed fracture
S330XXA,Traumatic rupture of lumbar intervertebral disc initial encounter
S33100A,Subluxation of unspecified lumbar vertebra initial encounter
S33110A,Subluxation of L1/L2 lumbar vertebra initial encounter
S33120A,Subluxation of L2/L3 lumbar vertebra initial encounter
S33130A,Subluxation of L3/L4 lumbar vertebra initial encounter
S33140A,Subluxation of L4/L5 lumbar vertebra initial encounter
S334XXA,Traumatic rupture of symphysis pubis initial encounter
S335XXA,Sprain of ligaments of lumbar spine initial encounter
S3401XA,Concussion and edema of lumbar spinal cord initial encounter
S34101A,Unspecified injury to L1 level of lumbar spinal cord initial encounter
S34111A,Complete lesion of L1 level of lumbar spinal cord initial encounter
S34121A,Incomplete lesion of L1 level of lumbar spinal cord initial encounter
S34131A,Complete lesion of sacral spinal cord initial encounter
S3421XA,Injury of nerve root of lumbar spine initial encounter
S3500XA,Unspecified injury of abdominal aorta initial encounter
S3501XA,Minor laceration of abdominal aorta initial encounter
S3502XA,Major laceration of abdominal aorta initial encounter
S3509XA,Other injury of abdominal aorta initial encounter
S3510XA,Unspecified injury of inferior vena cava initial encounter
S3511XA,Minor laceration of inferior vena cava initial encounter
S3512XA,Major laceration of inferior vena cava initial encounter
S3519XA,Other injury of inferior vena cava initial encounter
S35211A,Minor laceration of celiac artery initial encounter
S35221A,Minor laceration of superior mesenteric artery initial encounter
S35231A,Minor laceration of inferior mesenteric artery initial encounter
S35291A,Minor laceration of branches of celiac and mesenteric artery initial encounter
S35311A,Laceration of portal vein initial encounter
S35321A,Laceration of splenic vein initial encounter
S35331A,Laceration of superior mesenteric vein initial encounter
S35341A,Laceration of inferior mesenteric vein initial encounter
S35411A,Laceration of right renal artery initial encounter
S35491A,Other specified injury of right renal artery initial encounter
S3550XA,Injury of unspecified iliac blood vessel(s) initial encounter
S358X1A,Laceration of other blood vessels at abdomen lower back and pelvis level initial encounter
S3591XA,Laceration of unspecified blood vessel at abdomen lower back and pelvis level initial encounter
S3599XA,Other specified injury of unspecified blood vessel at abdomen lower back and pelvis level initial encounter
S3600XA,Unspecified injury of spleen initial encounter
S36020A,Minor contusion of spleen initial encounter
S36030A,Superficial (capsular) laceration of spleen initial encounter
S3609XA,Other injury of spleen initial encounter
S36112A,Contusion of liver initial encounter
S36122A,Contusion of gallbladder initial encounter
S3613XA,Injury of bile duct initial encounter
S36200A,Unspecified injury of head of pancreas initial encounter
S36220A,Contusion of head of pancreas initial encounter
S36230A,Laceration of head of pancreas unspecified degree initial encounter
S36240A,Minor laceration of head of pancreas initial encounter
S36250A,Moderate laceration of head of pancreas initial encounter
S36260A,Major laceration of head of pancreas initial encounter
S36290A,Other injury of head of pancreas initial encounter
S3630XA,Unspecified injury of stomach initial encounter
S3632XA,Contusion of stomach initial encounter
S3633XA,Laceration of stomach initial encounter
S3639XA,Other injury of stomach initial encounter
S36400A,Unspecified injury of duodenum initial encounter
S36410A,Primary blast injury of duodenum initial encounter
S36420A,Contusion of duodenum initial encounter
S36430A,Laceration of duodenum initial encounter
S36490A,Other injury of duodenum initial encounter
S36500A,Unspecified injury of ascending [right] colon initial encounter
S36510A,Primary blast injury of ascending [right] colon initial encounter
S36520A,Contusion of ascending [right] colon initial encounter
S36530A,Laceration of ascending [right] colon initial encounter
S36590A,Other injury of ascending [right] colon initial encounter
S3660XA,Unspecified injury of rectum initial encounter
S3661XA,Primary blast injury of rectum initial encounter
S3662XA,Contusion of rectum initial encounter
S3663XA,Laceration of rectum initial encounter
S3669XA,Other injury of rectum initial encounter
S3681XA,Injury of peritoneum initial encounter
S36892A,Contusion of other intra-abdominal organs initial encounter
S3692XA,Contusion of unspecified intra-abdominal organ initial encounter
S3693XA,Laceration of unspecified intra-abdominal organ initial encounter
S3699XA,Other injury of unspecified intra-abdominal organ initial encounter
S37001A,Unspecified injury of right kidney initial encounter
S37011A,Minor contusion of right kidney initial encounter
S37021A,Major contusion of right kidney initial encounter
S37031A,Laceration of right kidney unspecified degree initial encounter
S37041A,Minor laceration of right kidney initial encounter
S37051A,Moderate laceration of right kidney initial encounter
S37061A,Major laceration of right kidney initial encounter
S37091A,Other injury of right kidney initial encounter
S3710XA,Unspecified injury of ureter initial encounter
S3712XA,Contusion of ureter initial encounter
S3713XA,Laceration of ureter initial encounter
S3719XA,Other injury of ureter initial encounter
S3720XA,Unspecified injury of bladder initial encounter
S3722XA,Contusion of bladder initial encounter
S3723XA,Laceration of bladder initial encounter
S3729XA,Other injury of bladder initial encounter
S3730XA,Unspecified injury of urethra initial encounter
S3732XA,Contusion of urethra initial encounter
S3733XA,Laceration of urethra initial encounter
S3739XA,Other injury of urethra initial encounter
S37401A,Unspecified injury of ovary unilateral initial encounter
S37421A,Contusion of ovary unilateral initial encounter
S37431A,Laceration of ovary unilateral initial encounter
S37491A,Other injury of ovary unilateral initial encounter
S37501A,Unspecified injury of fallopian tube unilateral initial encounter
S37511A,Primary blast injury of fallopian tube unilateral initial encounter
S37521A,Contusion of fallopian tube unilateral initial encounter
S37531A,Laceration of fallopian tube unilateral initial encounter
S37591A,Other injury of fallopian tube unilateral initial encounter
S3760XA,Unspecified injury of uterus initial encounter
S3762XA,Contusion of uterus initial encounter
S3763XA,Laceration of uterus initial encounter
S3769XA,Other injury of uterus initial encounter
S37812A,Contusion of adrenal gland initial encounter
S37822A,Contusion of prostate initial encounter
S37892A,Contusion of other urinary and pelvic organ initial encounter
S3792XA,Contusion of unspecified urinary and pelvic organ initial encounter
S3793XA,Laceration of unspecified urinary and pelvic organ initial encounter
S3799XA,Other injury of unspecified urinary and pelvic organ initial encounter
S38001A,Crushing injury of unspecified external genital organs male initial encounter
S38211A,Complete traumatic amputation of female external genital organs initial encounter
S38221A,Complete traumatic amputation of penis initial encounter
S38231A,Complete traumatic amputation of scrotum and testis initial encounter
S383XXA,Transection (partial) of abdomen initial encounter
S39001A,Unspecified injury of muscle fascia and tendon of abdomen initial encounter
S39011A,Strain of muscle fascia and tendon of abdomen initial encounter
S39021A,Laceration of muscle fascia and tendon of abdomen initial encounter
S39091A,Other injury of muscle fascia and tendon of abdomen initial encounter
S3981XA,Other specified injuries of abdomen initial encounter
S39840A,Fracture of corpus cavernosum penis initial encounter
S3991XA,Unspecified injury of abdomen initial encounter
S40011A,Contusion of right shoulder initial encounter
S40211A,Abrasion of right shoulder initial encounter
S40221A,Blister (nonthermal) of right shoulder initial encounter
S40241A,External constriction of right shoulder initial encounter
S40251A,Superficial foreign body of right shoulder initial encounter
S40261A,Insect bite (nonvenomous) of right shoulder initial encounter
S40271A,Other superficial bite of right shoulder initial encounter
S40811A,Abrasion of right upper arm initial encounter
S40821A,Blister (nonthermal) of right upper arm initial encounter
S40841A,External constriction of right upper arm initial encounter
S40851A,Superficial foreign body of right upper arm initial encounter
S40861A,Insect bite (nonvenomous) of right upper arm initial encounter
S40871A,Other superficial bite of right upper arm initial encounter
S40911A,Unspecified superficial injury of right shoulder initial encounter
S41011A,Laceration without foreign body of right shoulder initial encounter
S41031A,Puncture wound without foreign body of right shoulder initial encounter
S41051A,Open bite of right shoulder initial encounter
S41101A,Unspecified open wound of right upper arm initial encounter
S41111A,Laceration without foreign body of right upper arm initial encounter
S41131A,Puncture wound without foreign body of right upper arm initial encounter
S41151A,Open bite of right upper arm initial encounter
S42001A,Fracture of unspecified part of right clavicle initial encounter for closed fracture
S42011A,Anterior displaced fracture of sternal end of right clavicle initial encounter for closed fracture
S42021A,Displaced fracture of shaft of right clavicle initial encounter for closed fracture
S42031A,Displaced fracture of lateral end of right clavicle initial encounter for closed fracture
S42101A,Fracture of unspecified part of scapula right shoulder initial encounter for closed fracture
S42111A,Displaced fracture of body of scapula right shoulder initial encounter for closed fracture
S42121A,Displaced fracture of acromial process right shoulder initial encounter for closed fracture
S42131A,Displaced fracture of coracoid process right shoulder initial encounter for closed fracture
S42141A,Displaced fracture of glenoid cavity of scapula right shoulder initial encounter for closed fracture
S42151A,Displaced fracture of neck of scapula right shoulder initial encounter for closed fracture
S42191A,Fracture of other part of scapula right shoulder initial encounter for closed fracture
S42201A,Unspecified fracture of upper end of right humerus initial encounter for closed fracture
S42221A,2-part displaced fracture of surgical neck of right humerus initial encounter for closed fracture
S42231A,3-part fracture of surgical neck of right humerus initial encounter for closed fracture
S42241A,4-part fracture of surgical neck of right humerus initial encounter for closed fracture
S42251A,Displaced fracture of greater tuberosity of right humerus initial encounter for closed fracture
S42261A,Displaced fracture of lesser tuberosity of right humerus initial encounter for closed fracture
S42271A,Torus fracture of upper end of right humerus initial encounter for closed fracture
S42291A,Other displaced fracture of upper end of right humerus initial encounter for closed fracture
S42301A,Unspecified fracture of shaft of humerus right arm initial encounter for closed fracture
S42311A,Greenstick fracture of shaft of humerus right arm initial encounter for closed fracture
S42321A,Displaced transverse fracture of shaft of humerus right arm initial encounter for closed fracture
S42331A,Displaced oblique fracture of shaft of humerus right arm initial encounter for closed fracture
S42341A,Displaced spiral fracture of shaft of humerus right arm initial encounter for closed fracture
S42351A,Displaced comminuted fracture of shaft of humerus right arm initial encounter for closed fracture
S42361A,Displaced segmental fracture of shaft of humerus right arm initial encounter for closed fracture
S42391A,Other fracture of shaft of right humerus initial encounter for closed fracture
S42401A,Unspecified fracture of lower end of right humerus initial encounter for closed fracture
S42411A,Displaced simple supracondylar fracture without intercondylar fracture of right humerus initial encounter for closed fracture
S42421A,Displaced comminuted supracondylar fracture without intercondylar fracture of right humerus initial encounter for closed fracture
S42431A,Displaced fracture (avulsion) of lateral epicondyle of right humerus initial encounter for closed fracture
S42441A,Displaced fracture (avulsion) of medial epicondyle of right humerus initial encounter for closed fracture
S42451A,Displaced fracture of lateral condyle of right humerus initial encounter for closed fracture
S42461A,Displaced fracture of medial condyle of right humerus initial encounter for closed fracture
S42471A,Displaced transcondylar fracture of right humerus initial encounter for closed fracture
S42481A,Torus fracture of lower end of right humerus initial encounter for closed fracture
S42491A,Other displaced fracture of lower end of right humerus initial encounter for closed fracture
S4290XA,Fracture of unspecified shoulder girdle part unspecified initial encounter for closed fracture
S43001A,Unspecified subluxation of right shoulder joint initial encounter
S43011A,Anterior subluxation of right humerus initial encounter
S43021A,Posterior subluxation of right humerus initial encounter
S43031A,Inferior subluxation of right humerus initial encounter
S43081A,Other subluxation of right shoulder joint initial encounter
S43101A,Unspecified dislocation of right acromioclavicular joint initial encounter
S43111A,Subluxation of right acromioclavicular joint initial encounter
S43121A,Dislocation of right acromioclavicular joint 100%-200% displacement initial encounter
S43141A,Inferior dislocation of right acromioclavicular joint initial encounter
S43151A,Posterior dislocation of right acromioclavicular joint initial encounter
S43201A,Unspecified subluxation of right sternoclavicular joint initial encounter
S43211A,Anterior subluxation of right sternoclavicular joint initial encounter
S43221A,Posterior subluxation of right sternoclavicular joint initial encounter
S43301A,Subluxation of unspecified parts of right shoulder girdle initial encounter
S43311A,Subluxation of right scapula initial encounter
S43391A,Subluxation of other parts of right shoulder girdle initial encounter
S43401A,Unspecified sprain of right shoulder joint initial encounter
S43411A,Sprain of right coracohumeral (ligament) initial encounter
S43431A,Superior glenoid labrum lesion of right shoulder initial encounter
S43491A,Other sprain of right shoulder joint initial encounter
S4350XA,Sprain of unspecified acromioclavicular joint initial encounter
S4400XA,Injury of ulnar nerve at upper arm level unspecified arm initial encounter
S45001A,Unspecified injury of axillary artery right side initial encounter
S45011A,Laceration of axillary artery right side initial encounter
S45091A,Other specified injury of axillary artery right side initial encounter
S45101A,Unspecified injury of brachial artery right side initial encounter
S45111A,Laceration of brachial artery right side initial encounter
S45191A,Other specified injury of brachial artery right side initial encounter
S45201A,Unspecified injury of axillary or brachial vein right side initial encounter
S45211A,Laceration of axillary or brachial vein right side initial encounter
S45291A,Other specified injury of axillary or brachial vein right side initial encounter
S45301A,Unspecified injury of superficial vein at shoulder and upper arm level right arm initial encounter
S45311A,Laceration of superficial vein at shoulder and upper arm level right arm initial encounter
S45391A,Other specified injury of superficial vein at shoulder and upper arm level right arm initial encounter
S45801A,Unspecified injury of other specified blood vessels at shoulder and upper arm level right arm initial encounter
S45811A,Laceration of other specified blood vessels at shoulder and upper arm level right arm initial encounter
S45891A,Other specified injury of other specified blood vessels at shoulder and upper arm level right arm initial encounter
S45901A,Unspecified injury of unspecified blood vessel at shoulder and upper arm level right arm initial encounter
S45911A,Laceration of unspecified blood vessel at shoulder and upper arm level right arm initial encounter
S45991A,Other specified injury of unspecified blood vessel at shoulder and upper arm level right arm initial encounter
S46001A,Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of right shoulder initial encounter
S46011A,Strain of muscle(s) and tendon(s) of the rotator cuff of right shoulder initial encounter
S46021A,Laceration of muscle(s) and tendon(s) of the rotator cuff of right shoulder initial encounter
S46091A,Other injury of muscle(s) and tendon(s) of the rotator cuff of right shoulder initial encounter
S46101A,Unspecified injury of muscle fascia and tendon of long head of biceps right arm initial encounter
S46111A,Strain of muscle fascia and tendon of long head of biceps right arm initial encounter
S46121A,Laceration of muscle fascia and tendon of long head of biceps right arm initial encounter
S46191A,Other injury of muscle fascia and tendon of long head of biceps right arm initial encounter
S46201A,Unspecified injury of muscle fascia and tendon of other parts of biceps right arm initial encounter
S46211A,Strain of muscle fascia and tendon of other parts of biceps right arm initial encounter
S46221A,Laceration of muscle fascia and tendon of other parts of biceps right arm initial encounter
S46291A,Other injury of muscle fascia and tendon of other parts of biceps right arm initial encounter
S46301A,Unspecified injury of muscle fascia and tendon of triceps right arm initial encounter
S46311A,Strain of muscle fascia and tendon of triceps right arm initial encounter
S46321A,Laceration of muscle fascia and tendon of triceps right arm initial encounter
S46391A,Other injury of muscle fascia and tendon of triceps right arm initial encounter
S46801A,Unspecified injury of other muscles fascia and tendons at shoulder and upper arm level right arm initial encounter
S46811A,Strain of other muscles fascia and tendons at shoulder and upper arm level right arm initial encounter
S46821A,Laceration of other muscles fascia and tendons at shoulder and upper arm level right arm initial encounter
S46891A,Other injury of other muscles fascia and tendons at shoulder and upper arm level right arm initial encounter
S46901A,Unspecified injury of unspecified muscle fascia and tendon at shoulder and upper arm level right arm initial encounter
S46911A,Strain of unspecified muscle fascia and tendon at shoulder and upper arm level right arm initial encounter
S46921A,Laceration of unspecified muscle fascia and tendon at shoulder and upper arm level right arm initial encounter
S46991A,Other injury of unspecified muscle fascia and tendon at shoulder and upper arm level right arm initial encounter
S471XXA,Crushing injury of right shoulder and upper arm initial encounter
S48011A,Complete traumatic amputation at right shoulder joint initial encounter
S48021A,Partial traumatic amputation at right shoulder joint initial encounter
S48111A,Complete traumatic amputation at level between right shoulder and elbow initial encounter
S48121A,Partial traumatic amputation at level between right shoulder and elbow initial encounter
S48911A,Complete traumatic amputation of right shoulder and upper arm level unspecified initial encounter
S48921A,Partial traumatic amputation of right shoulder and upper arm level unspecified initial encounter
S49001A,Unspecified physeal fracture of upper end of humerus right arm initial encounter for closed fracture
S49011A,Salter-Harris Type I physeal fracture of upper end of humerus right arm initial encounter for closed fracture
S49091A,Other physeal fracture of upper end of humerus right arm initial encounter for closed fracture
S49101A,Unspecified physeal fracture of lower end of humerus right arm initial encounter for closed fracture
S49111A,Salter-Harris Type I physeal fracture of lower end of humerus right arm initial encounter for closed fracture
S49191A,Other physeal fracture of lower end of humerus right arm initial encounter for closed fracture
S4980XA,Other specified injuries of shoulder and upper arm unspecified arm initial encounter
S4990XA,Unspecified injury of shoulder and upper arm unspecified arm initial encounter
S5000XA,Contusion of unspecified elbow initial encounter
S50311A,Abrasion of right elbow initial encounter
S50321A,Blister (nonthermal) of right elbow initial encounter
S50341A,External constriction of right elbow initial encounter
S50351A,Superficial foreign body of right elbow initial encounter
S50361A,Insect bite (nonvenomous) of right elbow initial encounter
S50371A,Other superficial bite of right elbow initial encounter
S50811A,Abrasion of right forearm initial encounter
S50821A,Blister (nonthermal) of right forearm initial encounter
S50841A,External constriction of right forearm initial encounter
S50851A,Superficial foreign body of right forearm initial encounter
S50861A,Insect bite (nonvenomous) of right forearm initial encounter
S50871A,Other superficial bite of right forearm initial encounter
S50901A,Unspecified superficial injury of right elbow initial encounter
S51011A,Laceration without foreign body of right elbow initial encounter
S51031A,Puncture wound without foreign body of right elbow initial encounter
S51051A,Open bite right elbow initial encounter
S51801A,Unspecified open wound of right forearm initial encounter
S51811A,Laceration without foreign body of right forearm initial encounter
S51831A,Puncture wound without foreign body of right forearm initial encounter
S51851A,Open bite of right forearm initial encounter
S52001A,Unspecified fracture of upper end of right ulna initial encounter for closed fracture
S52011A,Torus fracture of upper end of right ulna initial encounter for closed fracture
S52021A,Displaced fracture of olecranon process without intraarticular extension of right ulna initial encounter for closed fracture
S52031A,Displaced fracture of olecranon process with intraarticular extension of right ulna initial encounter for closed fracture
S52041A,Displaced fracture of coronoid process of right ulna initial encounter for closed fracture
S52091A,Other fracture of upper end of right ulna initial encounter for closed fracture
S52101A,Unspecified fracture of upper end of right radius initial encounter for closed fracture
S52111A,Torus fracture of upper end of right radius initial encounter for closed fracture
S52121A,Displaced fracture of head of right radius initial encounter for closed fracture
S52131A,Displaced fracture of neck of right radius initial encounter for closed fracture
S52181A,Other fracture of upper end of right radius initial encounter for closed fracture
S52201A,Unspecified fracture of shaft of right ulna initial encounter for closed fracture
S52211A,Greenstick fracture of shaft of right ulna initial encounter for closed fracture
S52221A,Displaced transverse fracture of shaft of right ulna initial encounter for closed fracture
S52231A,Displaced oblique fracture of shaft of right ulna initial encounter for closed fracture
S52241A,Displaced spiral fracture of shaft of ulna right arm initial encounter for closed fracture
S52251A,Displaced comminuted fracture of shaft of ulna right arm initial encounter for closed fracture
S52261A,Displaced segmental fracture of shaft of ulna right arm initial encounter for closed fracture
S52271A,Monteggia's fracture of right ulna initial encounter for closed fracture
S52281A,Bent bone of right ulna initial encounter for closed fracture
S52291A,Other fracture of shaft of right ulna initial encounter for closed fracture
S52301A,Unspecified fracture of shaft of right radius initial encounter for closed fracture
S52311A,Greenstick fracture of shaft of radius right arm initial encounter for closed fracture
S52321A,Displaced transverse fracture of shaft of right radius initial encounter for closed fracture
S52331A,Displaced oblique fracture of shaft of right radius initial encounter for closed fracture
S52341A,Displaced spiral fracture of shaft of radius right arm initial encounter for closed fracture
S52351A,Displaced comminuted fracture of shaft of radius right arm initial encounter for closed fracture
S52361A,Displaced segmental fracture of shaft of radius right arm initial encounter for closed fracture
S52371A,Galeazzi's fracture of right radius initial encounter for closed fracture
S52381A,Bent bone of right radius initial encounter for closed fracture
S52391A,Other fracture of shaft of radius right arm initial encounter for closed fracture
S52501A,Unspecified fracture of the lower end of right radius initial encounter for closed fracture
S52511A,Displaced fracture of right radial styloid process initial encounter for closed fracture
S52521A,Torus fracture of lower end of right radius initial encounter for closed fracture
S52531A,Colles' fracture of right radius initial encounter for closed fracture
S52541A,Smith's fracture of right radius initial encounter for closed fracture
S52551A,Other extraarticular fracture of lower end of right radius initial encounter for closed fracture
S52561A,Barton's fracture of right radius initial encounter for closed fracture
S52571A,Other intraarticular fracture of lower end of right radius initial encounter for closed fracture
S52591A,Other fractures of lower end of right radius initial encounter for closed fracture
S52601A,Unspecified fracture of lower end of right ulna initial encounter for closed fracture
S52611A,Displaced fracture of right ulna styloid process initial encounter for closed fracture
S52621A,Torus fracture of lower end of right ulna initial encounter for closed fracture
S52691A,Other fracture of lower end of right ulna initial encounter for closed fracture
S5290XA,Unspecified fracture of unspecified forearm initial encounter for closed fracture
S53011A,Anterior subluxation of right radial head initial encounter
S53021A,Posterior subluxation of right radial head initial encounter
S53031A,Nursemaid's elbow right elbow initial encounter
S53091A,Other subluxation of right radial head initial encounter
S53101A,Unspecified subluxation of right ulnohumeral joint initial encounter
S53111A,Anterior subluxation of right ulnohumeral joint initial encounter
S53121A,Posterior subluxation of right ulnohumeral joint initial encounter
S53131A,Medial subluxation of right ulnohumeral joint initial encounter
S53141A,Lateral subluxation of right ulnohumeral joint initial encounter
S53191A,Other subluxation of right ulnohumeral joint initial encounter
S5320XA,Traumatic rupture of unspecified radial collateral ligament initial encounter
S53401A,Unspecified sprain of right elbow initial encounter
S53411A,Radiohumeral (joint) sprain of right elbow initial encounter
S53421A,Ulnohumeral (joint) sprain of right elbow initial encounter
S53431A,Radial collateral ligament sprain of right elbow initial encounter
S53441A,Ulnar collateral ligament sprain of right elbow initial encounter
S53491A,Other sprain of right elbow initial encounter
S5400XA,Injury of ulnar nerve at forearm level unspecified arm initial encounter
S55001A,Unspecified injury of ulnar artery at forearm level right arm initial encounter
S55011A,Laceration of ulnar artery at forearm level right arm initial encounter
S55091A,Other specified injury of ulnar artery at forearm level right arm initial encounter
S55101A,Unspecified injury of radial artery at forearm level right arm initial encounter
S55111A,Laceration of radial artery at forearm level right arm initial encounter
S55191A,Other specified injury of radial artery at forearm level right arm initial encounter
S55201A,Unspecified injury of vein at forearm level right arm initial encounter
S55211A,Laceration of vein at forearm level right arm initial encounter
S55291A,Other specified injury of vein at forearm level right arm initial encounter
S55801A,Unspecified injury of other blood vessels at forearm level right arm initial encounter
S55811A,Laceration of other blood vessels at forearm level right arm initial encounter
S55891A,Other specified injury of other blood vessels at forearm level right arm initial encounter
S55901A,Unspecified injury of unspecified blood vessel at forearm level right arm initial encounter
S55911A,Laceration of unspecified blood vessel at forearm level right arm initial encounter
S55991A,Other specified injury of unspecified blood vessel at forearm level right arm initial encounter
S56001A,Unspecified injury of flexor muscle fascia and tendon of right thumb at forearm level initial encounter
S56011A,Strain of flexor muscle fascia and tendon of right thumb at forearm level initial encounter
S56021A,Laceration of flexor muscle fascia and tendon of right thumb at forearm level initial encounter
S56091A,Other injury of flexor muscle fascia and tendon of right thumb at forearm level initial encounter
S56101A,Unspecified injury of flexor muscle fascia and tendon of right index finger at forearm level initial encounter
S56111A,Strain of flexor muscle fascia and tendon of right index finger at forearm level initial encounter
S56121A,Laceration of flexor muscle fascia and tendon of right index finger at forearm level initial encounter
S56191A,Other injury of flexor muscle fascia and tendon of right index finger at forearm level initial encounter
S56201A,Unspecified injury of other flexor muscle fascia and tendon at forearm level right arm initial encounter
S56211A,Strain of other flexor muscle fascia and tendon at forearm level right arm initial encounter
S56221A,Laceration of other flexor muscle fascia and tendon at forearm level right arm initial encounter
S56291A,Other injury of other flexor muscle fascia and tendon at forearm level right arm initial encounter
S56301A,Unspecified injury of extensor or abductor muscles fascia and tendons of right thumb at forearm level initial encounter
S56311A,Strain of extensor or abductor muscles fascia and tendons of right thumb at forearm level initial encounter
S56321A,Laceration of extensor or abductor muscles fascia and tendons of right thumb at forearm level initial encounter
S56391A,Other injury of extensor or abductor muscles fascia and tendons of right thumb at forearm level initial encounter
S56401A,Unspecified injury of extensor muscle fascia and tendon of right index finger at forearm level initial encounter
S56411A,Strain of extensor muscle fascia and tendon of right index finger at forearm level initial encounter
S56421A,Laceration of extensor muscle fascia and tendon of right index finger at forearm level initial encounter
S56491A,Other injury of extensor muscle fascia and tendon of right index finger at forearm level initial encounter
S56501A,Unspecified injury of other extensor muscle fascia and tendon at forearm level right arm initial encounter
S56511A,Strain of other extensor muscle fascia and tendon at forearm level right arm initial encounter
S56521A,Laceration of other extensor muscle fascia and tendon at forearm level right arm initial encounter
S56591A,Other injury of other extensor muscle fascia and tendon at forearm level right arm initial encounter
S56801A,Unspecified injury of other muscles fascia and tendons at forearm level right arm initial encounter
S56811A,Strain of other muscles fascia and tendons at forearm level right arm initial encounter
S56821A,Laceration of other muscles fascia and tendons at forearm level right arm initial encounter
S56891A,Other injury of other muscles fascia and tendons at forearm level right arm initial encounter
S56901A,Unspecified injury of unspecified muscles fascia and tendons at forearm level right arm initial encounter
S56911A,Strain of unspecified muscles fascia and tendons at forearm level right arm initial encounter
